year,State,State Minimum Wage,Effective Minimum Wage,Median Household Income
2003,Kansas,3.73,7.24,44232
2003,Kentucky,7.24,7.24,36936
2003,Louisiana,0,7.24,33507
2003,Maine,8.79,8.79,37113
2003,Maryland,7.24,7.24,52314
2003,Massachusetts,9.49,9.49,50955
2003,Michigan,7.24,7.24,45022
2003,Minnesota,6.89,7.24,52823
2003,Mississippi,0,7.24,32728
2003,Missouri,7.24,7.24,43762
2003,Montana,5.62,7.24,34108
2003,Nebraska,7.24,7.24,43974
2003,Nevada,7.24,7.24,45184
2003,New Hampshire,7.24,7.24,55567
2003,New Jersey,7.24,7.24,56045
2003,New Mexico,5.97,7.24,35105
2003,New York,7.24,7.24,42788
2003,North Carolina,7.24,7.24,37279
2003,North Dakota,7.24,7.24,40410
2003,Ohio,3.94,7.24,43520
2003,Oklahoma,2.81,7.24,35902
2003,Oregon,9.7,9.7,41638
2003,Pennsylvania,7.24,7.24,42933
2003,Rhode Island,8.65,8.65,44711
2003,South Carolina,0,7.24,38479
2003,South Dakota,7.24,7.24,39522
2003,Tennessee,0,7.24,37523
2003,Texas,7.24,7.24,39271
2003,Utah,7.24,7.24,49275
2003,Vermont,8.79,8.79,43261
2003,Virginia,7.24,7.24,54783
2003,Washington,9.85,9.85,47508
2003,West Virginia,7.24,7.24,32763
2003,Wisconsin,7.24,7.24,46269
2003,Wyoming,7.24,7.24,42555
2004,Alabama,0,7.05,36629
2004,Alaska,9.79,9.79,55063
2004,Arizona,0,7.05,43846
2004,Arkansas,7.05,7.05,34984
2004,California,9.24,9.24,49222
2004,Colorado,7.05,7.05,50886
2004,Connecticut,9.72,9.72,55100
2004,Delaware,8.42,8.42,48049
2004,District of Columbia,8.42,8.42,43451
2004,Florida,0,7.05,40535
2004,Georgia,7.05,7.05,40984
2004,Hawaii,8.56,8.56,56242
2004,Idaho,7.05,7.05,44358
2004,Illinois,7.53,7.53,46077
2004,Indiana,7.05,7.05,42329
2004,Iowa,7.05,7.05,43391
2004,Kansas,3.63,7.05,41066
